Minimum Error At:
AX12 Constant 152
dsPIC Constant 184


Other possible values with error less than 1%
----------------+-----------------+-----------
       AX12     |       dsPIC     |
  Speed   Value |   Speed  Value  |  Error (%)
----------------+-----------------+-----------
    12578  158  |    12595  191   |    0.13
    12500  159  |    12595  191   |    0.76
    12578  158  |    12529  192   |    0.39
    12500  159  |    12529  192   |    0.24
    12422  160  |    12529  192   |    0.87
    12578  158  |    12465  193   |    0.91
    12500  159  |    12465  193   |    0.28
    12422  160  |    12465  193   |    0.35
    12345  161  |    12465  193   |    0.97
    12500  159  |    12401  194   |    0.79
    12422  160  |    12401  194   |    0.17
    12345  161  |    12401  194   |    0.45
    12422  160  |    12338  195   |    0.68
    12345  161  |    12338  195   |    0.06
    12269  162  |    12338  195   |    0.56
    12345  161  |    12275  196   |    0.57
    12269  162  |    12275  196   |    0.05
    12195  163  |    12275  196   |    0.66
    12269  162  |    12213  197   |    0.46
    12195  163  |    12213  197   |    0.15
    12121  164  |    12213  197   |    0.76
    12269  162  |    12152  198   |    0.97
    12195  163  |    12152  198   |    0.35
    12121  164  |    12152  198   |    0.26
    12048  165  |    12152  198   |    0.86
    12195  163  |    12091  199   |    0.86
    12121  164  |    12091  199   |    0.25
    12048  165  |    12091  199   |    0.36
    11976  166  |    12091  199   |    0.96
    12121  164  |    12031  200   |    0.75
    12048  165  |    12031  200   |    0.14
    11976  166  |    12031  200   |    0.46
    12048  165  |    11971  201   |    0.64
    11976  166  |    11971  201   |    0.04
    11904  167  |    11971  201   |    0.56
    11976  166  |    11912  202   |    0.53
    11904  167  |    11912  202   |    0.07
    11834  168  |    11912  202   |    0.66
    11904  167  |    11854  203   |    0.43
    11834  168  |    11854  203   |    0.17
    11764  169  |    11854  203   |    0.76
    11904  167  |    11796  204   |    0.92
    11834  168  |    11796  204   |    0.32
    11764  169  |    11796  204   |    0.27
    11695  170  |    11796  204   |    0.86
    11834  168  |    11739  205   |    0.81
    11764  169  |    11739  205   |    0.22
    11695  170  |    11739  205   |    0.37
    11627  171  |    11739  205   |    0.96
    11764  169  |    11682  206   |    0.70
    11695  170  |    11682  206   |    0.11
    11627  171  |    11682  206   |    0.47
    11695  170  |    11626  207   |    0.60
    11627  171  |    11626  207   |    0.01
    11560  172  |    11626  207   |    0.57
    11627  171  |    11570  208   |    0.49
    11560  172  |    11570  208   |    0.09
    11494  173  |    11570  208   |    0.67
    11627  171  |    11515  209   |    0.98
    11560  172  |    11515  209   |    0.39
    11494  173  |    11515  209   |    0.19
    11428  174  |    11515  209   |    0.76
    11560  172  |    11461  210   |    0.87
    11494  173  |    11461  210   |    0.29
    11428  174  |    11461  210   |    0.28
    11363  175  |    11461  210   |    0.86
    11494  173  |    11406  211   |    0.77
    11428  174  |    11406  211   |    0.19
    11363  175  |    11406  211   |    0.38
    11299  176  |    11406  211   |    0.95
    11428  174  |    11353  212   |    0.66
    11363  175  |    11353  212   |    0.09
    11299  176  |    11353  212   |    0.48
    11363  175  |    11300  213   |    0.56
    11299  176  |    11300  213   |    0.01
    11235  177  |    11300  213   |    0.57
    11299  176  |    11247  214   |    0.46
    11235  177  |    11247  214   |    0.11
    11173  178  |    11247  214   |    0.67
    11299  176  |    11195  215   |    0.93
    11235  177  |    11195  215   |    0.36
    11173  178  |    11195  215   |    0.20
    11111  179  |    11195  215   |    0.76
    11235  177  |    11144  216   |    0.82
    11173  178  |    11144  216   |    0.26
    11111  179  |    11144  216   |    0.30
    11049  180  |    11144  216   |    0.85
    11173  178  |    11093  217   |    0.72
    11111  179  |    11093  217   |    0.16
    11049  180  |    11093  217   |    0.39
    10989  181  |    11093  217   |    0.95
    11111  179  |    11042  218   |    0.62
    11049  180  |    11042  218   |    0.07
    10989  181  |    11042  218   |    0.49
